"client_code","department_code","department_name"
"CEB-GEM","SA","SERVICE AGREEMENT"
"SLPI-OP","CO","CATERING OPERATIONS"
"SLPI-OP","CONFI","CONFIDENTIAL"
"SLPI-PW","SUPPORT","SUPPORT"
"SLPI-PW","CO","CATERING OPERATIONS"
"SLPI-QA","CO","CATERING OPERATIONS"
"SKPI-AF","FIXED ASSET","FIXED ASSET"
"SKPI-AF","GEN ACCTNG","GENERAL ACCOUNTING"
"SLPI-GM","CO","CATERING OPERATIONS"
"SKPI-AD","ADMIN","ADMIN"
"SKPI-IT","SUPPORT","SUPPORT"
"CEB-GEM","CEB-GEM","CEBU GEM"
"CEB-STN","CONFI","CONFIDENTIAL"
"SLPI-GM","SUPPORT","SUPPORT"
"SKPI-CS","CO","CATERING OPERATION"
"SKPI-EO","CB","CENTRAL BAGGAGE"
"SKPI-EO","EO-SKPI","EXECUTIVE OFFICE SKY KITCHEN"
"SLPI-EO","CONFI","CONFIDENTIAL"
"SLPI-EO","EO","EXECUTIVE OFFICE"
"SLPI-EO","EO-SLPI","EXECUTIVE OFFICE SKYLOGISTIC"
"SKPI-FM","CO","CATERING OPERATIONS"
"SKPI-HR","CONFI","CONFIDENTIAL"
"SP","CGC","CGC"
"SLPI-AF","BILLING","BILLING"
"SLPI-AF","TIMEKEEPING","TIMEKEEPING"
"SLPI-AF","SUPPORT","SUPPORT"
"SLPI-AF","FIXED ASSET","FIXED ASSET"
"SKPI-FM","SUPPORT","SUPPORT"
"SKPI-AF","TREASURY","ACCOUNTING AND FINANCE"
"MNL-PSD","SA","SERVICE AGREEMENT"
"SLPI-IC","ICT-HEAD","ICT"
"MNL-SC","SA","SERVICE AGREEMENT"
"MNL-SC","MSC","MANILA STATION CONTROL"
"SLPI-AF","PAYABLES","PAYABLES"
"SKPI-HR","HR - MNL","HUMAN RESOURCES"
"MNL-CBS","MNL-CBS","CENTRAL BAGGAGE SERVICES"
"CEB-PSD","SA","SERVICE AGREEMENT"
"CEB-OSM","CONFI","CONFIDENTIAL"
"CEB-OSM","OSM","OSM"
"CEB-OSM","SUPPORT","SUPPORT"
"SLPI-AF","ACCTNG","ACCOUNTING"
"SLPI-TR","SUPPORT","SUPPORT"
"SKPI-CF","CO","CATERING OPERATION"
"SKPI-OP","OP","OFFICE OF THE PRESIDENT"
"SLPI-PW","CONFI","CONFIDENTIAL"
"SKPI-CP","CP","CATERING PRODUCTION"
"SKPI-IT","ICT","INFO.COMTECH"
"SKPI-AF","PAYABLES","ACCOUNTING AND FINANCE"
"MNL-CSD","MNL-CRG","MANILA CARGO"
"MNL-CSD","MNL-CSD","MANILA CARGO SERVICES"
"SLPI-SM","CONFI","CONFIDENTIAL"
"SKPI-GM","OGM","OFFICE OF THE GENERAL MANAGER"
"SLPI-GM","CONFI","CONFIDENTIAL"
"SLPI-EO","SUPPORT","SUPPORT"
"MNL-CBS","SA","SERVICE AGREEMENT"
"SLPI-IC","ICT","INFO.COMTECH"
"SLPI-HR","CONFI","CONFIDENTIAL"
"SLPI-GM","OGM","OFFICE OF THE GENERAL MANAGER"
"SLPI-PW","PW","PURCHASING AND WAREHOUSE"
"SLPI-SM","SUPPORT","SUPPORT"
"SLPI-SM","OSM","OSM"
"SLPI-SS","SUPPORT","SUPPORT"
"MNL-GEM","SUPPORT","SUPPORT"
"SKPI-CA","CA","CONSULTANT AGREEMENT"
"SLPI-SS","SS","SAFETY AND SECURITY"
"SKPI-CS","CS","CATERING SUPPORT"
"SKPI-SS","SS","SAFETY AND SECURITY"
"SLPI-AF","PAYROLL","PAYROLL"
"MNL-RMP","MNL-RMP","MANILA RAMP"
"SKPI-CP","CO","CATERING OPERATIONS"
"SKPI-QA","QA","QUALITY ASSURANCE"
"SKPI-AF","COMPLIANCE","ACCOUNTING AND FINANCE"
"SKPI-AF","COSTING","ACCOUNTING AND FINANCE"
"SLPI-QA","QA","QUALITY ASSURANCE"
"SKPI-TR","SKPI-TR","SKPI TRAINING"
"CEB-CRG","CEB-CRG","CEBU CARGO SERVICES"
"SKPI-PW","PURCHASING","PURCHASING"
"MNL-GEM","APPRENTICE","APPRENTICE"
"CEBU-CBS","CEBU CENTRAL","CEBU CENTRAL BAGGAGE"
"CEB-SA","CEB-GEM","CEBU GEM"
"MNL-CSD","ADMIN","ADMIN"
"MNL-RMP","SA","SERVICE AGREEMENT"
"SKPI-FM","FM","FACILITIES AND MAINTENANCE"
"SKPI-IT","ICT-HEAD","ICT"
"SKPI-CP","CP-HALAL PM","CATERING PRODUCTION"
"SKPI-CP","CP-HOT KIT AM","CATERING PRODUCTION"
"SLPI-IC","ICT-STAFF","ICT-STAFF"
"SKPI-IT","ICT-STAFF","ICT-STAFF"
"SKPI-HR","TRAINING","HUMAN RESOURCES"
