"employee_number","number_of_hours","reasons","withpay","dateleave"
"employee105","4","EL - PERSONAL",True,"2017-01-10"
"employee2145","8","TOOTHACHE",True,"2017-01-03"
"employee1440","4","FOLLOW-UP CHECK AND GET X-RAY RESULT",True,"2017-01-04"
"employee1378","8",".",True,"2017-01-13"
"employee1437","9","VL",True,"2017-05-09"
"employee1440","4","VL",True,"2017-01-27"
"employee105","8","PERSONAL MATTERS",True,"2017-01-03"
"employee975","8","VACATION LEAVE",True,"2017-01-01"
"employee975","8","VACATION LEAVE",True,"2017-01-02"
"employee935","8","SETTLE IMPORTANT MATTERS",True,"2017-01-01"
"employee1378","8","AVAIL HOLIDAY",True,"2017-01-02"
"employee1437","9","VL",True,"2017-05-10"
"employee415","8","BROUGHT MY SICK SON TO THE HOSP.",True,"2017-01-03"
"employee62","8","PERSONAL MATTER",True,"2017-01-03"
"employee587","8","AVAIL HOLIDAY",True,"2017-01-02"
"employee21","8","MIGRAINE",True,"2017-01-04"
"employee1812","4","PERSONAL MATTER",True,"2017-01-04"
"employee199","4","EL - PERSONAL MATTER",True,"2017-01-03"
"employee2236","8","PERSONAL MATTER",True,"2017-01-09"
"employee44","8","SETTLE IMPORTANT MATTER",True,"2017-01-09"
"employee44","8","SETTLE IMPORTANT MATTER",True,"2017-01-10"
"employee44","8","SETTLE IMPORTANT MATTER",True,"2017-01-11"
"employee44","8","SETTLE IMPORTANT MATTER",True,"2017-01-12"
"employee44","8","SETTLE IMPORTANT MATTER",True,"2017-01-13"
"employee439","4","EL - PERSONAL MATTER",True,"2017-01-09"
"employee415","8","SETTLE IMPORTANT MATTER",True,"2017-01-09"
"employee2513","8","LOW BACK PAIN",True,"2017-01-06"
"employee118","8","HYPERACIDITY",True,"2017-01-09"
"employee118","8","FAMILY AFFAIR",True,"2017-01-12"
"employee3067","4","EL - PERSONAL",True,"2017-01-09"
"employee2145","8","EL - WILL TAKE CARE OF MY SON",True,"2017-01-04"
"employee2145","8","EL - PERSONAL MATTER",True,"2017-01-10"
"employee1437","9","VL",True,"2017-05-11"
"employee1437","9","VL",True,"2017-05-12"
"employee950","9","LOWER BACK PAIN",True,"2017-05-06"
"employee950","9","LOWER BACK PAIN",True,"2017-05-07"
"employee1107","6.75","UTI",True,"2017-05-10"
"employee1107","2.25","UTI",False,"2017-05-10"
"employee2277","9","VL",True,"2017-05-08"
"employee1888","9","VACATION LEAVE",True,"2017-05-16"
"employee1444","9","NO REASON",True,"2017-05-17"
"employee2823","9","first day of schools",True,"2017-06-05"
"employee1040","9","paternity leave",True,"2017-05-30"
"employee1040","9","paternity leave",True,"2017-05-31"
"employee970","9","KO4",True,"2017-05-16"
"employee1475","8","testonly",True,"2017-05-04"
"employee992","4.5","PERSONAL",True,"2017-05-03"
"employee408","9","VL",True,"2017-05-03"
"employee408","9","VL",True,"2017-05-04"
"employee408","9","VL",True,"2017-05-05"
"employee408","9","VL",True,"2017-05-06"
"employee408","9","VL",True,"2017-05-07"
"employee1031","9","WEDDING ANNIV.",False,"2017-05-26"
"employee1013","9","EL- ATTEND SICK WIFE",True,"2017-05-02"
"employee933","9","ATTEND FAMILY MATTER",True,"2017-05-07"
"employee933","2.25","ATTEND FAMILY MATTER",True,"2017-05-08"
"employee1527","4.5","personal matter",True,"2017-03-24"
"employee933","6.75","ATTEND FAMILY MATTER",False,"2017-05-08"
"employee3062","9","to process Barangay clearance",True,"2017-05-29"
"employee1520","9","Family obligation",True,"2017-03-30"
"employee1520","9","Family obligation",True,"2017-03-31"
"employee1527","4.5","Personal Matter",True,"2017-03-28"
"employee943","9","BIRTHDAY",True,"2017-05-09"
"employee943","9","BIRTHDAY",True,"2017-05-10"
"employee1117","9","HYPERTENSION",True,"2017-05-03"
"employee1106","9","LOWER BACK PAIN",True,"2017-05-04"
"employee1518","9","OUT OF TOWN",True,"2017-12-29"
"employee1492","9","DUE TO HEAD PAIN REGARDING WISDOM TOOTH PAIN",True,"2017-05-16"
"employee2259","9","UTI",True,"2017-05-02"
"employee1495","4.5","PICK SICK SISTER IN AIRPORT.DIRECT TO HOSPITAL",True,"2017-05-11"
"employee950","6.75","low back pain",True,"2017-05-13"
"employee2294","9","FEVER",True,"2017-05-23"
"employee950","2.25","low back pain",False,"2017-05-13"
"employee982","9","SPRAIN LEFT FOOT ANKLE",True,"2017-05-15"
"employee984","9","SPRAIN ANKLE LEFT FOOT",True,"2017-05-16"
"employee1013","9","FAMILY REUNION IN BICOL PROVINCE",True,"2017-06-22"
"employee1423","9","family matter",True,"2017-05-22"
"employee1013","9","FAMILY REUNION IN BICOL PROVINCE",True,"2017-06-23"
"employee1013","9","FAMILY REUNION IN BICOL PROVINCE",True,"2017-06-24"
"employee55","9","school requirements",False,"2017-03-27"
"employee107","4.5","SCHEDULED VACCINATION OF MY DAUGHTER",True,"2017-04-06"
"employee2514","9","FAMILY MATTERS",True,"2017-03-31"
"employee1013","9","FAMILY REUNION IN BICOL PROVINCE",True,"2017-06-25"
"employee1068","9","PERSONAL",True,"2017-05-15"
"employee3234","9","AVAIL SCHED VL DUE TO IMPORTANT FAMILY MATTER",True,"2017-05-18"
"employee3234","9","AVAIL SCHED VL DUE TO IMPORTANT FAMILY MATTER",True,"2017-05-19"
"employee1089","9","HEADACHE",True,"2017-05-23"
"employee1089","4.5","ATTEND TO FAMILY MATTER",True,"2017-05-24"
"employee471","9","To avail my vacation leave",True,"2017-05-29"
"employee471","9","To avail my vacation leave",True,"2017-05-30"
"employee3190","9","to assist my kids on this school opening",True,"2017-06-05"
"employee3190","9","to assist my kids on this school opening",True,"2017-06-06"
"employee3190","9","to assist my kids on this school opening",True,"2017-06-07"
"employee3227","9","Abdominal pain",True,"2017-05-23"
"employee1051","9","Assist my wife on hospital (death of my sis in law",True,"2017-05-22"
"employee3230","9","Acute Gastroenteritis and was hospitalized",True,"2017-05-21"
"employee2229","9","GET NBI CLEARANCE QUALITY CONTROL - NBI",True,"2017-05-04"
"employee2263","9","VL",True,"2017-05-16"
"employee2263","9","VL",True,"2017-05-17"
"employee1876","9","Emergency Leave",True,"2017-05-24"
"employee1695","6.75","DUE TO ACUTE ARTHRITIS",True,"2017-05-23"
"employee1695","2.25","DUE TO ACUTE ARTHRITIS",False,"2017-05-23"
"employee1695","9","DUE TO ACUTE ARTHRITIS",False,"2017-05-24"
"employee977","9","FEVER AND SEVERE COUGH",True,"2017-05-16"
"employee977","9","FEVER AND SEVERE COUGH",True,"2017-05-17"
"employee977","9","FEVER AND SEVERE COUGH",True,"2017-05-18"
"employee977","9","FEVER AND SEVERE COUGH",True,"2017-05-19"
"employee408","9","ATTEND BURIAL OF MY NEPHEW",True,"2017-05-14"
"employee977","2.25","FEVER AND SEVERE COUGH",True,"2017-05-20"
"employee1019","9","GOUT",True,"2017-05-08"
"employee1019","2.25","GOUT",True,"2017-05-09"
"employee1019","6.75","GOUT",False,"2017-05-09"
"employee1495","9","ACCOMPANY FRIENDS OCULAR WEDDING RECEPTION",True,"2017-05-19"
"employee1424","9","PERSONAL MATTERS",True,"2018-07-27"
"employee108","9","BACK PAIN AND FEVER",True,"2017-03-22"
"employee977","6.75","FEVER AND SEVERE COUGH",False,"2017-05-20"
"employee1418","9","Personal Matter",True,"2017-03-31"
"employee261","4.5","PERSONAL MATTER",True,"2017-05-19"
"employee513","4.5","Personal",True,"2017-05-19"
"employee3095","9","TO P[ROCESS MEDICAL ASSISTANT OF MY WIFE",True,"2017-05-27"
"employee1051","9","Interment of my sis in law",True,"2017-05-25"
"employee1019","9","GOUT",False,"2017-05-16"
"employee996","9","NO REASON",True,"2017-05-23"
"employee996","9","NO REASON",True,"2017-05-24"
"employee996","9","NO REASON",True,"2017-05-25"
"employee996","9","NO REASON",True,"2017-05-26"
"employee996","4.5","NO REASON",True,"2017-05-27"
