idno,description,balance,refresh_accrual,year_updated,used,procyear
employee10,VACATION LEAVE - REGULAR,135,FALSE,2017,0,2017
employee10,SICK LEAVE,11.25,FALSE,2017,0,2017
employee10,VACATION LEAVE - REGULAR,120,TRUE,2016,0,2016
employee100,VACATION LEAVE - REGULAR,135,TRUE,2019,0,2019
employee100,VACATION LEAVE - REGULAR,120,TRUE,2016,0,2016
employee100,SOLO PARENT LEAVE,63,TRUE,2019,0,2019
employee100,VACATION LEAVE - REGULAR,0,TRUE,2017,45,2017
employee100,MAGNA CARTA FOR WOMEN,540,TRUE,2019,0,2019
employee100,SICK LEAVE,54,TRUE,2017,27,2017
employee100,SICK LEAVE,11.25,TRUE,2019,0,2019
employee100,SICK LEAVE,13.5,TRUE,2018,121.5,2018
employee100,MAGNA CARTA FOR WOMEN,540,TRUE,2018,0,2018
employee100,VACATION LEAVE - REGULAR,0,TRUE,2018,135,2018
employee100,SOLO PARENT LEAVE,63,TRUE,2018,0,2018
employee1000,SOLO PARENT LEAVE,63,TRUE,2017,0,2017
employee1000,PATERNITY LEAVE,63,TRUE,2018,0,2018
employee1000,PATERNITY LEAVE,63,TRUE,2017,0,2017
employee1000,VACATION LEAVE - REGULAR,135,FALSE,2018,0,2018
employee1000,VACATION LEAVE - REGULAR,0,TRUE,2017,81,2017
employee1000,SICK LEAVE,13.5,FALSE,2017,40.5,2017
employee1000,SICK LEAVE,10,TRUE,2016,0,2016
employee1000,SOLO PARENT LEAVE,63,FALSE,2018,0,2018
employee1000,SICK LEAVE,45,TRUE,2018,0,2018
employee1000,VACATION LEAVE - REG LESS THAN A YR,10,TRUE,2016,0,2016
employee1001,SICK LEAVE,40.5,TRUE,2018,94.5,2018
employee1001,VACATION LEAVE - REGULAR,0,TRUE,2017,54,2017
employee1001,VACATION LEAVE - REGULAR,9,TRUE,2018,126,2018
employee1001,SICK LEAVE,72,TRUE,2017,27,2017
employee1001,VACATION LEAVE - REGULAR,117,TRUE,2019,18,2019
employee1001,VACATION LEAVE - REGULAR,120,TRUE,2016,0,2016
employee1001,SICK LEAVE,11.25,TRUE,2019,0,2019
employee1002,SICK LEAVE,13.5,FALSE,2017,67.5,2017
employee1002,SICK LEAVE,11.25,TRUE,2019,0,2019
employee1002,VACATION LEAVE - REGULAR,0,TRUE,2017,85.5,2017
employee1002,PATERNITY LEAVE,63,TRUE,2019,0,2019
employee1002,PATERNITY LEAVE,63,TRUE,2017,0,2017
employee1002,SOLO PARENT LEAVE,63,TRUE,2019,0,2019
employee1002,SOLO PARENT LEAVE,63,TRUE,2017,0,2017
employee1002,SICK LEAVE,0,TRUE,2018,63,2018
employee1002,VACATION LEAVE - REGULAR,0,TRUE,2018,135,2018
employee1002,SOLO PARENT LEAVE,63,TRUE,2018,0,2018
employee1002,VACATION LEAVE - REG LESS THAN A YR,10,TRUE,2016,0,2016
employee1002,VACATION LEAVE - REGULAR,45,TRUE,2019,90,2019
employee1002,SICK LEAVE,10,TRUE,2016,0,2016
employee1002,PATERNITY LEAVE,63,TRUE,2018,0,2018
employee1003,VACATION LEAVE - REGULAR,9,TRUE,2017,90,2017
employee1003,VACATION LEAVE - REGULAR,0,TRUE,2018,135,2018
employee1003,SICK LEAVE,108,TRUE,2017,27,2017
employee1003,SOLO PARENT LEAVE,63,TRUE,2018,0,2018
employee1003,VACATION LEAVE - REGULAR,120,TRUE,2016,0,2016
employee1003,PATERNITY LEAVE,63,TRUE,2018,0,2018
employee1003,PATERNITY LEAVE,63,TRUE,2017,0,2017
employee1003,SICK LEAVE,0,TRUE,2018,27,2018
employee1003,SICK LEAVE,11.25,TRUE,2019,0,2019
employee1003,VACATION LEAVE - REGULAR,135,TRUE,2019,0,2019
employee1003,PATERNITY LEAVE,63,TRUE,2019,0,2019
employee1003,SOLO PARENT LEAVE,63,TRUE,2019,0,2019
employee1004,SOLO PARENT LEAVE,63,TRUE,2018,0,2018
employee1004,SOLO PARENT LEAVE,63,TRUE,2019,0,2019
employee1004,PATERNITY LEAVE,63,TRUE,2018,0,2018
employee1004,SICK LEAVE,11.25,TRUE,2019,0,2019
employee1004,VACATION LEAVE - REGULAR,0,TRUE,2018,126,2018
employee1004,VACATION LEAVE - REGULAR,135,TRUE,2019,0,2019
employee1004,SICK LEAVE,0,TRUE,2018,81,2018
employee1004,PATERNITY LEAVE,63,TRUE,2019,0,2019
employee1004,VACATION LEAVE - REGULAR,0,TRUE,2017,85.5,2017
employee1004,PATERNITY LEAVE,63,TRUE,2017,0,2017
employee1004,SICK LEAVE,90,TRUE,2017,36,2017
employee1004,VACATION LEAVE - REGULAR,120,TRUE,2016,0,2016
employee1005,PATERNITY LEAVE,63,TRUE,2019,0,2019
