"shift_code","description","work_hours","break_hours","in1","out1","in2","out2"
"OV","OVERTIME SCHED","8","0","","","",""
"A16","07:30AM-5:00PM","9","0.5","07:30:59","12:00:01","12:30:00","17:00:59"
"A17","08:00AM-5:30PM","9","0.5","08:00:59","12:30:00","13:00:00","17:30:59"
"A03","01:00AM - 10:30AM","9","0.5","01:00:59","05:30:00","06:00:00","10:30:59"
"A19","09:00AM-06:30PM","9","0.5","09:00:59","13:30:00","14:00:00","18:30:59"
"S07","03:00AM-1230PM","9","0.5","03:00:59","07:30:00","08:00:00","12:30:59"
"AC","ACCUMULATED HOURS","8","0","","","",""
"FX5","","8","0.5","","12:00:00","12:30:00",""
"A15","07:00AM-4:30PM","9","0.5","07:00:59","11:30:00","12:00:01","16:30:59"
"GM8","8:00AM - 5:30PM","9","0.5","08:00:00","12:00:01","12:30:00","17:30:00"
"A12","05:30AM-3:00PM","9","0.5","05:30:59","10:00:00","10:30:00","15:00:59"
"A04","01:30AM - 11:00AM","9","0.5","01:30:59","06:00:00","06:30:00","11:00:59"
"A06","02:30AM-12:00PM","9","0.5","02:30:59","07:00:00","07:30:00","12:00:59"
"A07","03:00AM-12:30PM","9","0.5","03:00:59","07:30:00","08:00:00","12:30:59"
"A08","03:30AM-01:00PM","9","0.5","03:30:59","08:00:00","08:30:00","13:00:59"
"A10","04:30AM-02:00PM","9","0.5","04:30:59","09:00:00","09:30:00","14:00:59"
"A11","05:00AM-02:30PM","9","0.5","05:00:59","09:30:00","10:00:00","14:30:59"
"A20","09:30AM-07:00PM","9","0.5","09:30:59","14:00:00","14:30:00","19:00:59"
"A22","10:30AM-08:00PM","9","0.5","10:30:59","15:00:00","15:30:00","20:00:59"
"A24","11:30AM-09:00PM","9","0.5","11:30:59","16:00:00","16:30:00","21:00:59"
"A25","12:00PM-09:30PM","9","0.5","12:00:59","16:30:00","17:00:00","21:30:59"
"A26","12:30PM-10:00PM","9","0.5","12:30:59","17:00:00","17:30:00","22:00:59"
"A29","02:00PM-11:30PM","9","0.5","14:00:59","18:30:00","19:00:00","23:30:59"
"A31","03:00PM-12:30AM","9","0.5","15:00:59","19:30:00","20:00:00","00:30:59"
"A32","03:30PM-01:00AM","9","0.5","15:30:59","20:00:00","20:30:00","01:00:59"
