"employee_number","joblevel","jobstatus","datehire","paymode","history","client_code","department_code","basic_rate","date_jobstatus","time_updated","position_id","position_level"
"employee64","PROBATIONARY","1","2017-01-16","2",True,"MNL-CBS","MNL-CBS","12546.07","2017-01-16","2017-01-27 15:13:51",99,4
"employee914","REGULAR","1","2011-11-08","2",True,"MNL-RMP","MNL-RMP","23000","2011-11-08","2017-01-10 09:51:34",125,4
"employee914","REGULAR","1","2011-11-08","2",True,"MNL-RMP","MNL-RMP","23000","2011-11-08","2017-01-27 14:27:00",125,4
"employee1453","PROBATIONARY","1","2017-01-16","2",True,"MNL-CBS","MNL-CBS","12546.07","2017-01-16","2017-01-27 15:21:05",99,4
"employee17","PROBATIONARY","1","2017-01-16","2",True,"MNL-CBS","MNL-CBS","12546.07","2017-01-16","2017-01-27 15:33:24",99,4
"employee660","REGULAR","1","2015-12-11","2",True,"MNL-CSD","EQUIPMENT","12977.54","2015-12-11","2017-01-18 15:52:09",89,4
"employee660","REGULAR","1","2015-12-11","2",True,"MNL-CSD","EQUIPMENT","12977.54","2015-12-11","2017-01-27 14:25:44",89,4
"employee137","REGULAR","1","2011-10-01","2",True,"MNL-PSD","MNL-PSD","18360","2011-10-01","2017-01-27 14:34:20",105,4
"employee757","REGULAR","1","2011-10-01","2",True,"MNL-PSD","MNL-PSD","23760","2011-10-01","2017-01-09 15:36:13",105,4
"employee570","APPRENTICE","1","2017-01-16","2",True,"MNL-GEM","GEM","368.25","2017-01-16","2017-01-27 16:17:01",119,4
"employee757","REGULAR","1","2011-10-01","2",True,"MNL-PSD","MNL-PSD","23760","2011-10-01","2017-01-27 14:26:33",105,4
"employee1104","REGULAR","2","2011-11-02","2",True,"SKPI-CS","CS","16960","2017-01-31","2017-01-25 08:38:54",22,14
"employee586","REGULAR","1","2011-10-01","2",True,"MNL-CSD","INTERNATIONAL","16960","2011-10-01","2017-01-12 14:57:00",94,4
"employee481","REGULAR","2","2013-12-18","2",True,"MNL-CSD","MNL-CRG","12","2016-05-13","2016-09-29 11:51:56",89,4
"employee2454","PROBATIONARY","1","2018-07-02","2",True,"SLPI-AC","TIMEKEEPING","13093.82","2018-07-02","2018-06-29 15:59:04",67,4
"employee381","REGULAR","2","2011-10-03","2",False,"CEB-GEM","CEB-GEM","1","2016-07-15","2017-01-27 14:24:25",210,4
"employee586","REGULAR","1","2011-10-01","2",True,"MNL-CSD","INTERNATIONAL","16960","2011-10-01","2017-01-27 14:31:44",94,4
"employee2289","PROBATIONARY","1","2018-06-16","2",True,"CEB-PSD","CEB-PSD","10000","2018-06-16","2018-07-02 08:15:51",100,4
"employee2287","PROBATIONARY","1","2018-06-16","2",True,"CEB-PSD","CEB-PSD","10000","2018-06-16","2018-07-02 08:57:26",100,4
"employee2290","PROBATIONARY","1","2018-06-16","2",True,"CEB-PSD","CEB-PSD","10000","2018-06-16","2018-07-02 08:59:35",100,4
"employee2298","PROBATIONARY","1","2018-06-16","2",True,"CEB-PSD","CEB-PSD","10000","2018-06-16","2018-07-02 08:56:52",100,4
"employee1104","REGULAR","1","2011-11-02","2",True,"SKPI-CS","CS","16960","2011-11-02","2017-01-27 16:35:52",22,14
"employee1480","REGULAR","1","2011-10-01","2",True,"MNL-CSD","INTERNATIONAL","16960","2011-10-01","2017-01-12 15:33:31",94,4
"employee918","REGULAR","1","2014-03-24","2",True,"MNL-RMP","MNL-RMP","12977.54","2014-03-24","2017-01-18 14:52:43",123,4
"employee3240","REGULAR","1","2013-05-25","2",True,"MNL-CSD","MNL-CSD","12546.07","2013-05-25","2017-01-19 11:43:04",94,4
"employee741","REGULAR","1","2011-11-19","2",True,"MNL-PSD","MNL-PSD","21200","2011-11-19","2017-01-09 16:01:23",171,4
"employee2248","PROBATIONARY","1","2018-06-16","2",True,"CEB-PSD","CEB-PSD","10000","2018-06-16","2018-07-02 08:59:50",100,4
"employee640","REGULAR","1","2011-10-01","2",True,"MNL-CSD","EQUIPMENT","16960","2011-10-01","2017-01-27 14:38:06",93,4
"employee1480","REGULAR","1","2011-10-01","2",True,"MNL-CSD","INTERNATIONAL","16960","2011-10-01","2017-01-27 14:32:08",94,4
"employee969","PROBATIONARY","1","2016-06-01","2",True,"SKPI-CF","CF","12977.15","2016-06-01","2017-01-27 16:36:32",13,14
"employee918","REGULAR","1","2014-03-24","2",True,"MNL-RMP","MNL-RMP","12977.54","2014-03-24","2017-01-27 14:36:46",123,4
"employee597","REGULAR","1","2011-10-01","2",True,"MNL-CSD","DOMESTIC","22260","2011-10-01","2017-01-27 14:34:36",94,4
"employee481","REGULAR","2","2013-12-18","2",True,"MNL-CSD","MNL-CRG","12546.07","2016-05-13","2017-01-27 14:36:07",89,4
"employee50","PROBATIONARY","1","2017-01-16","2",True,"MNL-PSD","MNL-PSD","12546.07","2017-01-16","2017-01-27 17:03:33",100,4
"employee571","APPRENTICE","1","2017-01-16","1",True,"MNL-GEM","GEM","368.25","2017-01-16","2017-01-27 16:44:30",119,4
"employee3186","APPRENTICE","1","2017-01-16","1",True,"MNL-GEM","GEM","368.25","2017-01-16","2017-01-27 16:39:21",119,4
"employee383","REGULAR","2","2011-10-01","2",True,"CEB-OSM","OSM","1","2016-10-01","2017-01-27 09:23:01",210,4
"employee2116","REGULAR","1","2012-09-01","2",True,"MNL-CBS","MNL-CBS","12546.07","2012-09-01","2017-01-11 11:37:35",83,4
"employee2248","PROBATIONARY","1","2018-06-16","2",True,"CEB-PSD","CEB-PSD","10000","2018-06-16","2018-07-02 08:59:55",100,4
"employee2285","PROBATIONARY","1","2018-06-16","2",True,"CEB-PSD","CEB-PSD","10000","2018-06-16","2018-07-02 09:01:14",100,4
"employee741","REGULAR","1","2011-11-19","2",False,"MNL-PSD","MNL-PSD","23883.83","2011-11-19","2018-12-14 13:35:41",171,4
"employee2116","REGULAR","1","2012-09-01","2",True,"MNL-CBS","MNL-CBS","12546.07","2012-09-01","2017-01-27 14:35:24",83,4
"employee1767","REGULAR","1","2011-10-01","2",True,"MNL-CBS","MNL-CBS","26500","2011-10-01","2016-12-27 10:07:21",199,10
"employee1442","PROBATIONARY","1","2016-08-16","2",True,"CEB-PSD","CEB-PSD","10000","2016-08-16","2017-01-19 08:34:21",100,4
"employee699","REGULAR","1","2014-07-21","2",True,"MNL-CSD","EQUIPMENT","12977.54","2014-07-21","2017-01-09 12:55:54",89,4
"employee699","REGULAR","1","2014-07-21","2",True,"MNL-CSD","EQUIPMENT","12977.54","2014-07-21","2017-01-27 14:38:45",89,4
"employee3192","PROBATIONARY","1","2016-08-18","2",True,"CEB-RMP","CEB-RMP","17000","2016-08-18","2017-01-19 09:39:28",172,10
"employee520","REGULAR","1","2012-07-02","2",True,"MNL-CSD","DOMESTIC","12546.07","2012-07-02","2016-11-11 15:30:32",93,4
"employee3192","PROBATIONARY","1","2016-08-18","2",True,"CEB-RMP","CEB-RMP","17000","2016-08-18","2017-01-27 14:39:01",172,10
"employee1442","PROBATIONARY","1","2016-08-16","2",True,"CEB-PSD","CEB-PSD","10000","2016-08-16","2017-01-27 14:42:16",100,4
"employee570","APPRENTICE","1","2017-01-16","1",True,"MNL-GEM","GEM","368.25","2017-01-16","2017-01-27 16:44:22",119,4
"employee20","PROBATIONARY","1","2017-01-16","2",True,"MNL-PSD","MNL-PSD","12546.07","2017-01-16","2017-01-27 17:28:26",100,4
"employee1334","REGULAR","2","2014-02-19","2",True,"MNL-SC","MSC","16","2016-08-14","2016-09-29 11:51:56",132,4
"employee394","REGULAR","2","2011-10-07","2",False,"CEB-RMP","CEB-RMP","1","2016-01-01","2017-01-27 14:34:53",210,4
